,city,country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
0,hofn,is,64.25,-15.21,48.25,99,92,17.36
1,hermanus,za,-34.42,19.24,54.91,90,44,7.74
2,roxana,cr,38.85,-90.08,77,69,75,13.87
3,chuy,uy,-33.69,-53.46,47.35,83,0,15.39
4,mount isa,au,-20.73,139.49,66.2,50,0,8.05
5,khatanga,ru,71.98,102.47,55.72,94,92,20.6
6,noumea,nc,-22.28,166.46,69.8,68,40,3.36
7,garh maharaja,pk,30.83,71.9,81.91,70,0,2.71
9,punta arenas,cl,-53.16,-70.91,33.8,74,75,13.87
10,karpathos,gr,35.51,27.21,73.4,78,0,8.05
11,pontes e lacerda,br,-15.23,-59.33,72.91,74,44,3.38
12,komsomolskiy,ru,67.55,63.78,50.95,87,0,12.88
13,iraray,ph,8.99,118.05,83.98,100,12,5.73
17,khorramabad,ir,33.48,48.35,48.34,53,0,2.59
18,jamestown,sh,-33.21,138.6,39.97,84,0,2.98
19,mar del plata,ar,-46.43,-67.52,40.33,81,80,7.56
20,petropavlovsk-kamchatskiy,ru,53.05,158.65,44.6,93,90,11.18
22,hobart,au,-42.88,147.33,46.4,75,75,10.29
24,hithadhoo,mv,-0.6,73.08,82.81,100,88,8.08
25,port alfred,za,-33.59,26.89,58.51,93,0,8.34
26,qaanaaq,gl,77.48,-69.36,30.16,100,12,1.19
28,straumen,no,63.87,11.3,48.2,93,75,21.92
29,port elizabeth,za,39.31,-74.98,78.8,83,1,4.72
30,kapaa,us,22.08,-159.32,84.2,69,20,10.29
31,kijang,id,35.24,129.21,75.2,53,0,4.7
33,lebu,cl,8.96,38.73,43.84,80,8,2.86
34,butaritari,ki,3.07,172.79,82.99,100,48,8.9
38,ust-kuyga,ru,70,135.55,65.62,62,0,4.21
39,dikson,ru,73.51,80.55,34.3,90,0,16.35
40,bayeux,fr,49.28,-0.7,53.6,93,0,3.36
41,kaitangata,nz,-46.28,169.85,36.55,95,20,5.61
44,guerrero negro,mx,27.97,-114.04,72.55,59,0,12.26
45,tiksi,ru,71.64,128.87,51.31,73,80,3.87
46,ouahigouya,bf,13.58,-2.42,86.23,44,0,12.93
47,rikitea,pf,-23.12,-134.97,72.19,100,68,7.29
48,riyadh,sa,24.63,46.72,84.2,13,5,3.36
49,anshun,cn,26.25,105.93,66.88,100,88,6.22
50,vaini,to,15.34,74.49,69.58,98,92,4.72
51,loudi,cn,27.73,112,75.79,100,92,4.27
52,leningradskiy,ru,69.38,178.42,33.4,94,0,12.88
53,clinton,us,41.84,-90.19,68,93,90,16.11
54,saskylakh,ru,71.97,114.09,62.11,72,64,17.13
55,ushuaia,ar,-54.81,-68.31,30.2,92,40,10.29
57,victoria,sc,5.28,115.24,80.6,94,90,1.12
60,thompson,ca,55.74,-97.86,82.4,45,40,10.29
61,haines junction,ca,60.75,-137.51,65.89,37,0,4.72
62,jawhar,so,19.91,73.23,75.88,98,92,3.87
63,henties bay,na,-22.12,14.28,54.46,100,8,2.71
64,dudinka,ru,69.41,86.18,60.58,86,76,15.05
65,castro,cl,-42.48,-73.76,46.81,100,92,10.36
66,mataura,pf,-46.19,168.86,37.36,100,44,4.88
67,pistsovo,ru,57.18,40.53,55.36,87,0,2.82
68,mahajanga,mg,-15.72,46.32,71.6,56,20,9.17
69,mayskiy,ru,43.63,44.06,66.2,39,0,6.71
70,roald,no,62.58,6.12,50,100,92,8.05
71,seymchan,ru,62.93,152.39,68.05,33,12,7
72,san quintin,mx,17.54,120.52,82.4,83,20,4.7
73,fairbanks,us,64.84,-147.72,84.2,23,40,3.36
74,sangar,ru,63.92,127.47,66.88,58,0,3.2
75,tiznit,ma,29.7,-9.73,63.1,92,48,3.53
77,mujiayingzi,cn,42.12,118.78,79.03,39,12,11.77
79,katsuura,jp,33.93,134.5,73.4,73,75,3.36
80,halifax,ca,44.65,-63.58,66.2,59,20,11.41
81,ribeira grande,pt,38.52,-28.7,73,96,88,7.52
83,malanje,ao,-9.54,16.35,54.1,80,0,2.37
85,port macquarie,au,-31.43,152.91,55.4,82,8,5.82
86,iquitos,pe,-3.75,-73.25,75.2,88,90,9.17
87,laguna,br,27.52,-110.01,93.2,32,5,12.75
89,caravelas,br,-17.73,-39.27,72.64,100,92,6.73
90,ponta do sol,cv,-20.63,-46,62.02,85,48,2.48
91,avarua,ck,-21.21,-159.78,80.6,78,40,6.93
93,polis,cy,35.04,32.42,77,78,20,11.41
94,verkhoyansk,ru,67.55,133.39,73.09,41,0,3.71
96,rosario,br,-34.31,-57.35,44.02,72,0,7.4
98,byron bay,au,-28.65,153.62,66.2,59,44,12.75
99,hilo,us,19.71,-155.08,84.2,62,75,11.41
100,areosa,pt,41.72,-8.86,69.8,93,40,9.17
101,solnechnyy,ru,50.72,136.64,47.26,97,92,7.07
102,chokurdakh,ru,70.62,147.9,56.08,87,0,9.53
105,bluff,nz,-23.58,149.07,62.2,68,36,10.92
106,sajanan,tn,37.06,9.24,69.8,73,20,4.7
108,poum,nc,41.28,20.71,55.18,98,20,1.81
110,lasa,cn,34.92,32.53,77,78,20,11.41
111,sabang,id,13.72,123.58,79.3,100,44,4.09
112,igarka,ru,67.47,86.57,61.93,57,0,10.25
119,katobu,id,-4.94,122.53,78.94,100,88,3.83
120,chico,us,39.73,-121.84,98.6,32,20,8.05
122,esperance,au,10.24,-61.45,78.8,94,20,10.29
123,atuona,pf,-9.8,-139.03,80.74,100,0,16.17
126,utevka,ru,52.9,50.95,60.85,46,0,10.31
129,tabuk,sa,17.41,121.44,75.52,85,8,1.7
130,clyde river,ca,70.47,-68.59,37.4,74,90,10.29
133,puerto ayora,ec,-0.74,-90.35,77,65,20,14.99
134,svobodnyy,ru,53.85,40.53,60.31,75,0,2.86
136,payakumbuh,id,-0.23,100.63,72.55,94,80,2.71
137,antofagasta,cl,-23.65,-70.4,57.2,71,90,9.17
139,jasper,ca,33.83,-87.28,84.2,70,12,7.11
141,east london,za,-33.02,27.91,67.15,100,0,12.26
142,busselton,au,-33.64,115.35,55.36,100,44,4.76
143,tiarei,pf,-17.53,-149.33,84.2,62,75,9.17
144,rabat,ma,34.02,-6.83,68,72,75,2.24
145,ahipara,nz,-35.17,173.16,55.36,96,0,12.44
146,diu,in,20.71,70.98,81.28,84,92,7.34
147,ilulissat,gl,69.22,-51.1,35.6,93,75,5.82
151,whitehorse,ca,60.72,-135.06,75.2,29,75,17.22
152,manhattan,us,39.18,-96.57,73.4,69,90,10.29
153,cherskiy,ru,68.75,161.3,62.74,46,0,2.86
155,mackay,au,53.65,-115.58,71.6,77,90,3.36
156,ancud,cl,-41.87,-73.83,47.62,97,92,9.75
157,grindavik,is,63.84,-22.43,50,100,90,21.92
161,nouadhibou,mr,20.93,-17.03,69.8,73,0,17.22
162,pisco,pe,-13.71,-76.2,62.6,77,90,3.36
164,birao,cf,10.3,22.78,71.65,93,56,2.86
165,padang,id,-0.92,100.36,82.18,100,68,4.88
167,upernavik,gl,72.79,-56.15,33.67,94,88,0.02
168,georgetown,gy,6.8,-58.16,75.2,100,20,2.82
173,alekseyevskoye,ru,45.2,43.58,67.33,66,0,2.75
175,monte patria,cl,-30.69,-70.96,37.9,99,12,1.52
177,carnarvon,au,-30.97,22.13,27.1,68,0,3.6
178,evensk,ru,61.92,159.24,48.79,87,0,3.27
180,tres picos,mx,16.23,-93.58,78.8,65,90,14.99
181,georgetown,sh,6.8,-58.16,75.2,100,20,2.82
182,kavieng,pg,-2.57,150.8,84.25,100,36,4.21
183,sambava,mg,-14.27,50.17,74.71,100,0,17.4
184,maldonado,uy,-34.91,-54.96,51.8,71,0,17.22
185,yermakovskoye,ru,53.28,92.4,64.36,74,0,3.76
186,tuktoyaktuk,ca,69.44,-133.03,50,61,75,14.99
187,presidencia roque saenz pena,ar,-26.79,-60.44,70.39,75,32,13.89
189,ibra,om,22.69,58.55,74.53,53,48,2.04
190,vanino,ru,53.93,40.55,60.31,75,0,2.86
193,areka,et,7.07,37.71,54.01,92,56,1.36
194,lubango,ao,-14.92,13.49,49.15,82,0,2.3
195,lompoc,us,34.64,-120.46,80.6,77,40,13.87
196,longyearbyen,sj,78.22,15.63,42.8,70,20,14.99
198,port hawkesbury,ca,45.62,-61.36,53.6,58,1,3.36
199,saint george,bm,39.45,22.34,64.45,70,12,2.37
200,geraldton,au,49.72,-86.95,75.2,36,20,13.87
204,talnakh,ru,69.49,88.39,54.19,90,92,4.54
205,cape town,za,-33.93,18.42,57.2,93,75,11.41
207,tuatapere,nz,-46.13,167.69,42.4,100,8,3.71
209,bambous virieux,mu,-20.34,57.76,71.6,88,40,4.99
211,la ronge,ca,55.1,-105.3,82.4,39,75,5.82
212,plettenberg bay,za,-34.05,23.37,59.86,100,0,15.9
216,namibe,ao,-15.19,12.15,68.14,100,0,10.31
219,anandnagar,in,18.71,73.3,86,79,40,8.05
223,piombino,it,42.93,10.52,68,94,20,3.36
224,arraial do cabo,br,-22.97,-42.02,66.2,93,0,3.36
226,linjiang,cn,41.81,126.91,68.68,64,0,5.61
227,hede,cn,60.45,15.49,46.4,100,92,8.05
228,kutum,sd,14.2,24.66,65.62,93,20,4.88
229,sao filipe,cv,14.9,-24.5,73,100,0,12.15
231,kalemie,cd,-5.95,29.2,74.35,100,100,6.85
232,kodiak,us,39.95,-94.76,73.4,73,90,11.41
235,leua,ao,-11.65,20.45,54.91,47,0,5.28
236,horki,by,54.29,30.98,70.3,62,92,12.44
238,kruisfontein,za,-34,24.73,57.34,88,0,14.16
239,beringovskiy,ru,63.05,179.32,44.65,100,0,7.07
242,hambantota,lk,6.12,81.12,76.33,100,64,12.82
243,naze,jp,5.43,7.07,71.92,95,88,3.71
245,san angelo,us,31.46,-100.44,96.8,26,20,8.05
249,rocha,uy,-34.48,-54.34,43.84,80,0,11.43
252,port lincoln,au,-34.72,135.86,50.41,100,8,8.75
253,fort frances,ca,48.61,-93.4,84.2,45,1,3.36
255,grand-santi,gf,4.27,-54.38,73.45,100,80,2.59
257,mahebourg,mu,-20.41,57.7,71.6,88,40,4.99
258,sadovoye,ru,47.78,44.52,68.23,41,0,10.13
264,boca do acre,br,-8.76,-67.39,75.88,88,24,1.97
269,nicoya,cr,10.15,-85.45,80.6,83,75,6.93
270,bredasdorp,za,-34.53,20.04,53.6,76,64,6.93
272,ketchikan,us,55.34,-131.65,62.6,72,40,16.11
273,albany,au,42.65,-73.75,73.4,38,20,11.41
274,constitucion,mx,23.99,-104.67,86,17,75,16.11
276,pinega,ru,64.7,43.39,51.85,93,8,4.61
277,odessa,us,31.85,-102.37,98.6,27,0,7.07
279,progreso,mx,-34.68,-56.22,48.2,76,0,5.82
281,fortuna,us,38.18,-1.13,69.8,83,0,2.24
283,alofi,nu,-19.06,-169.92,81.01,95,0,12.59
286,paraiso,mx,24.01,-104.61,86,17,75,16.11
287,hervey bay,au,-25.3,152.85,64.9,100,100,10.87
293,roswell,us,33.39,-104.52,93.2,26,1,12.75
295,sao jose da coroa grande,br,-8.9,-35.15,72.82,88,24,8.08
297,nikolskoye,ru,59.7,30.79,62.6,82,0,11.18
299,palencia,es,42.01,-4.53,66.25,72,0,14.94
309,haverfordwest,gb,51.8,-4.97,42.8,87,0,4.7
313,saint-philippe,re,45.36,-73.48,68,42,1,3.36
314,sola,vu,58.89,5.65,50,81,40,16.11
315,olupona,ng,7.6,4.18,71.74,98,92,8.08
317,paamiut,gl,61.99,-49.67,37.81,97,92,33.4
318,bima,id,-8.45,118.73,77.32,91,24,4.38
321,nome,us,30.04,-94.42,84.2,74,1,5.82
324,carhuaz,pe,-9.28,-77.65,42.76,52,0,1.7
329,damghan,ir,36.17,54.34,65.26,52,0,3.71
330,faanui,pf,-16.48,-151.75,80.47,100,80,17.47
336,cidreira,br,-30.17,-50.22,61.93,93,64,12.26
341,makakilo city,us,21.35,-158.09,87.8,48,75,10.29
350,worland,us,44.02,-107.96,80.6,60,1,19.46
356,istmina,co,5.16,-76.69,80.6,88,75,1.97
360,touros,br,-5.2,-35.46,79.66,76,68,15.35
364,mayumba,ga,-3.44,10.65,72.55,98,64,8.63
365,new norfolk,au,-42.78,147.06,50,66,75,10.29
366,kalabo,zm,-15,22.67,54.01,55,24,6.11
367,kenai,us,60.55,-151.26,59,82,75,6.93
368,turukhansk,ru,65.8,87.96,58.15,79,80,13.04
370,nkhotakota,mw,-12.93,34.3,65.08,88,48,7.85
376,mahibadhoo,mv,3.78,72.97,81.55,100,68,15.79
383,bogande,bf,12.97,-0.14,82.72,56,68,10.31
384,xapuri,br,-10.65,-68.5,73.09,85,68,1.52
388,da lat,vn,11.95,108.44,70.03,86,44,2.98
394,dzilam gonzalez,mx,21.28,-88.93,82.81,75,44,3.87
395,painesville,us,41.72,-81.25,71.6,72,1,8.05
399,zhengjiatun,cn,43.51,123.51,75.25,43,44,8.08
400,barranca,pe,-10.75,-77.76,61.21,100,32,6.62
403,coihaique,cl,-45.58,-72.07,37.4,93,90,8.05
404,buala,sb,-8.15,159.59,85.87,78,32,9.42
406,port hedland,au,-20.31,118.58,64.4,31,0,13.87
410,lavrentiya,ru,65.58,-170.99,40.42,86,56,18.19
411,harper,lr,30.3,-99.24,93.2,40,40,6.93
417,egvekinot,ru,66.32,-179.17,55.09,37,0,3.04
418,yar-sale,ru,66.83,70.83,50.5,71,20,15.28
420,stillwater,us,36.12,-97.06,91.4,38,1,8.05
421,olutanga,ph,7.31,122.85,80.56,100,48,1.7
431,bethel,us,60.79,-161.76,55.4,76,90,11.41
432,vestmannaeyjar,is,63.44,-20.27,48.7,98,92,20.2
436,port-gentil,ga,-0.72,8.78,74.98,100,0,14.61
437,vavuniya,lk,8.76,80.5,80.11,79,92,17.13
443,fallon,us,46.84,-105.12,78.8,44,1,9.17
445,puerto colombia,co,10.99,-74.96,80.6,88,75,9.17
446,manohar thana,in,24.24,76.8,76.69,81,36,2.71
447,thinadhoo,mv,0.53,72.93,82.9,100,80,7.52
452,wyndham,nz,51.61,-3.54,50,66,0,8.05
453,ouadda,cf,8.07,22.4,67.6,97,68,5.73
462,mbala,zm,-8.85,31.37,64.9,58,48,9.75
466,auki,sb,12.18,6.51,72.28,91,56,6.78
467,barrow,us,-38.31,-60.23,43.21,46,0,7.63
471,shahrud,ir,36.42,54.97,50.95,91,8,2.53
472,samarai,pg,-10.62,150.67,77.95,100,56,19.04
473,fort nelson,ca,58.81,-122.69,87.8,33,90,8.05
475,nanortalik,gl,60.14,-45.24,37,95,88,9.42
476,ponta delgada,pt,37.73,-25.67,66.2,77,20,4.7
479,akim swedru,gh,5.89,-1.02,73.63,87,68,7.63
480,novikovo,ru,45.05,34.56,66.34,89,20,1.74
481,barcelona,ve,41.38,2.18,73.4,73,0,5.82
482,herat,af,34.35,62.22,58.15,36,0,4.76
485,deshnok,in,27.8,73.34,81.64,46,0,3.38
486,palmer,us,61.6,-149.11,64.4,59,20,21.92
489,balurghat,in,25.22,88.78,76.69,97,20,9.35
493,inhambane,mz,-23.87,35.38,67.51,100,0,5.28
496,matagami,ca,9.67,8.4,66.43,99,76,2.75
499,ismailia,eg,30.6,32.27,69.76,82,0,2.82
501,maniitsoq,gl,65.42,-52.9,39.7,81,80,4.99
502,sobolevo,ru,54.43,31.9,66.7,67,76,12.26
504,killybegs,ie,54.63,-8.45,48.25,100,0,7.34
505,christchurch,nz,-43.53,172.64,44.6,70,0,3.04
508,mutoko,zw,-17.4,32.23,51.4,90,0,2.59
509,muros,es,42.77,-9.06,64.4,88,20,4.7
520,eyl,so,7.98,49.82,80.56,75,12,26.19
524,flint,us,43.02,-83.72,73.4,56,1,9.17
525,kabo,cf,7.69,18.62,66.7,90,12,2.75
528,labuhan,id,-2.54,115.51,75.79,88,64,2.71
529,tual,id,-5.67,132.75,78.31,100,36,10.42
532,kasempa,zm,-13.46,25.83,50.05,68,0,4.54
534,morant bay,jm,17.88,-76.41,84.2,74,20,16.11
535,mount gambier,au,-37.83,140.78,46.36,92,36,5.39
540,severo-kurilsk,ru,50.68,156.12,42.31,94,100,23.4
541,namatanai,pg,-3.66,152.44,80.56,100,64,4.72
543,honiara,sb,-9.43,159.96,86,74,75,9.17
549,yellowknife,ca,62.45,-114.38,68,60,75,4.7
556,agadir,ma,30.42,-9.58,66.2,82,75,5.82
557,anadyr,ru,64.73,177.51,55.4,50,0,6.71
559,bilma,ne,18.69,12.92,81.91,37,36,3.04
562,klaksvik,fo,62.23,-6.59,46.4,100,24,14.94
564,acapulco,mx,16.86,-99.88,84.2,74,75,3.36
565,karasjok,no,69.47,25.52,46.4,93,92,9.17
566,shuangcheng,cn,45.37,126.3,77,50,0,11.18
567,chegutu,zw,-18.13,30.15,61.48,74,92,5.99
568,ostrovnoy,ru,68.05,39.51,44.83,89,48,4.88
574,saint-augustin,ca,44.83,-0.61,69.8,73,0,6.93
576,puerto carreno,co,6.19,-67.49,82.4,69,40,2.59
583,grootfontein,na,-19.56,18.1,42.22,64,0,3.87
584,itamarandiba,br,-17.86,-42.86,57.7,92,0,2.59
588,melville,ca,50.93,-102.81,82.4,30,1,6.93
589,rio gallegos,ar,-51.62,-69.22,30.2,80,0,11.41
593,airai,pw,-8.93,125.41,71.83,76,44,2.08
596,mocoa,co,1.15,-76.65,56.89,95,68,0.69
599,luwuk,id,-0.95,122.79,74.53,100,92,2.82
603,torbay,ca,47.66,-52.73,57.2,76,40,14.99
